post_id,location_id,post_type,summary,cta_type,published_on
POST-00001,LOC-001,OFFER,Smile with confidence — we can help.,BOOK,2026-04-02
POST-00002,LOC-001,EVENT,Join our dental wellness program.,GET_OFFER,2026-04-10
POST-00003,LOC-001,STANDARD,Mercury-free restorations.,CALL,2026-04-14
POST-00004,LOC-001,OFFER,Root canal therapy — expert care.,CALL,2026-05-02
POST-00005,LOC-001,OFFER,Sleep apnea screening.,,2026-06-02
POST-00006,LOC-001,EVENT,Smile makeover before and after.,BOOK,2026-06-11
POST-00007,LOC-001,STANDARD,Smile makeover before and after.,,2026-06-20
POST-00008,LOC-001,EVENT,Invisalign consultations — clear aligners.,CALL,2026-07-11
POST-00009,LOC-001,EVENT,Advanced tooth replacement options.,LEARN_MORE,2026-07-13
POST-00010,LOC-001,EVENT,Special offer on dental cleanings.,GET_OFFER,2026-07-24
POST-00011,LOC-001,OFFER,Root canal therapy — expert care.,SIGN_UP,2026-08-02
POST-00012,LOC-001,STANDARD,Sports mouth guard fittings.,BOOK,2026-08-12
POST-00013,LOC-001,STANDARD,Sedation dentistry available.,LEARN_MORE,2026-09-02
POST-00014,LOC-003,EVENT,Spring cleaning special! Get your smile ready.,GET_OFFER,2026-03-12
POST-00015,LOC-003,EVENT,Bridge and crown specialists.,CALL,2026-03-23
POST-00016,LOC-003,STANDARD,Summer smile refresh — whitening special.,GET_OFFER,2026-07-16
POST-00017,LOC-003,EVENT,Cosmetic dentistry transformations.,,2026-08-01
POST-00018,LOC-004,STANDARD,Smile with confidence — we can help.,BOOK,2026-03-11
POST-00019,LOC-004,OFFER,Advanced implant solutions for missing teeth.,BOOK,2026-04-29
POST-00020,LOC-004,STANDARD,Digital x-rays for safety.,,2026-06-01
POST-00021,LOC-004,OFFER,Advanced tooth replacement options.,SIGN_UP,2026-06-28
POST-00022,LOC-004,STANDARD,Spring cleaning special! Get your smile ready.,SIGN_UP,2026-07-15
POST-00023,LOC-005,STANDARD,Jaw pain solutions.,,2026-03-06
POST-00024,LOC-005,STANDARD,Join our dental wellness program.,,2026-03-11
POST-00025,LOC-005,STANDARD,Back-to-school dental checkup reminder.,CALL,2026-03-17
