review_id,location_id,reviewer_name,rating,review_text,created_at
REV-00001,LOC-001,Barbara X.,5,Outstanding patient care experience. Loved the friendly atmosphere. I have no cavities thanks to their care.,2026-07-25
REV-00002,LOC-001,David A.,4,Very clean and well-organized office.,2025-10-23
REV-00003,LOC-001,Sarah W.,5,Great experience from start to finish. Outstanding results and great communication. Great preventative care approach.,2025-10-18
REV-00004,LOC-001,Daniel W.,5,Outstanding patient care experience. Excellent dental care and very professional staff.,2026-06-07
REV-00005,LOC-001,Brenda D.,5,The team puts you at ease right away.,2026-04-05
REV-00006,LOC-001,Jessica X.,5,The entire team is excellent. Top-notch professionalism.,2025-10-18
REV-00007,LOC-001,Sandra U.,5,"Professional, friendly, and efficient. Dentist really cares about your teeth.",2026-04-24
REV-00008,LOC-001,William B.,3,They document everything carefully. No major issues found.,2026-07-14
REV-00009,LOC-001,Joseph M.,5,"Professional, friendly, and efficient. Excellent communication throughout.",2026-08-05
REV-00010,LOC-001,Angela G.,5,Dr. did an amazing job with my crown. I trust them completely with my teeth.,2026-01-21
REV-00011,LOC-001,Donna F.,5,Best dental experience I've had. Highly professional and trustworthy. The hygienist was very skilled.,2026-08-10
REV-00012,LOC-001,Emily H.,5,Outstanding results and great communication. I have no cavities thanks to their care. The dentist really knows their stuff.,2026-04-25
REV-00013,LOC-001,Anna S.,4,They treated me like family. Dr. explained everything clearly and answered all questions.,2025-09-17
REV-00014,LOC-001,Christopher I.,5,I've recommended them to everyone. Dr. is truly passionate about his work. Outstanding service and expertise.,2026-09-03
REV-00015,LOC-001,Brandon M.,5,The hygienist was very skilled. Top-notch professionalism. Very clean and well-organized office.,2025-11-11
REV-00016,LOC-001,Amy C.,5,Exceptional dental care every single time.,2026-03-05
REV-00017,LOC-001,Gail N.,3,Waiting room was clean.,2025-09-25
REV-00018,LOC-001,Andrew R.,5,They go above and beyond for patients. Best decision switching to this practice.,2026-07-03
REV-00019,LOC-001,Joshua Y.,4,The hygienist was very skilled.,2025-09-06
REV-00020,LOC-001,Gary A.,5,The staff really cares about your comfort. Dr. did an amazing job with my crown.,2026-07-26
REV-00021,LOC-001,Jonathan D.,3,Just another routine appointment. The exam was comprehensive.,2026-09-05
REV-00022,LOC-001,Melissa Y.,5,Very caring and competent team. Great preventative care approach. The appointment was right on time.,2026-07-18
REV-00023,LOC-001,Michael D.,5,Excellent dental care and very professional staff. The dentist really knows their stuff. Great facility with amazing staff.,2025-11-22
REV-00024,LOC-001,Paul S.,3,The dentist was straightforward. Nothing to complain about.,2026-03-05
REV-00025,LOC-001,Charles E.,5,Dr. explained everything clearly and answered all questions. The hygienist was very skilled.,2025-10-11
REV-00026,LOC-001,Katie N.,5,Highly professional and trustworthy. Top-notch professionalism. Best decision switching to this practice.,2026-08-04
REV-00027,LOC-001,Ashley M.,2,The service quality was poor.,2025-12-18
REV-00028,LOC-001,Patricia H.,4,They treat you with respect. I feel confident in my dental health now.,2026-08-10
REV-00029,LOC-001,Debra S.,5,Dentist really cares about your teeth.,2025-12-25
REV-00030,LOC-001,David K.,5,I felt well taken care of during my visit. Excellent communication throughout. Dr. explained everything clearly and answered all questions.,2025-12-22
REV-00031,LOC-001,Angela E.,5,Great facility with amazing staff. The team puts you at ease right away.,2025-10-07
REV-00032,LOC-001,Nicholas Z.,2,The appointment was overbooked. I felt disrespected during my visit.,2026-09-06
REV-00033,LOC-001,Angela N.,5,The staff really cares about your comfort.,2026-03-28
REV-00034,LOC-001,Stephanie X.,5,Very clean facilities and modern equipment. The hygienist was so gentle and thorough. I felt well taken care of during my visit.,2026-03-30
REV-00035,LOC-001,Mark G.,4,Loved the friendly atmosphere.,2026-02-21
REV-00036,LOC-001,Cynthia H.,5,They really care about patient comfort. Outstanding patient care experience.,2026-06-02
REV-00037,LOC-001,Sarah C.,5,The hygienist was so gentle and thorough. Very clean facilities and modern equipment. Very comfortable and relaxing environment.,2025-10-09
REV-00038,LOC-001,Stephanie B.,5,The dentist is truly the best. The team puts you at ease right away.,2025-12-31
REV-00039,LOC-001,Kenneth N.,5,Top-notch professionalism. Outstanding service and expertise.,2025-11-24
REV-00040,LOC-001,Susan G.,1,Terrible communication. The service quality was poor. I felt like just a number.,2026-08-23
REV-00041,LOC-001,Emily X.,5,Very comfortable and relaxing environment.,2026-01-30
REV-00042,LOC-001,Daniel B.,5,The dentist is truly the best. Very caring and competent team. Best decision switching to this practice.,2026-02-08
REV-00043,LOC-001,Benjamin C.,5,Dr. explained everything clearly and answered all questions.,2026-05-19
REV-00044,LOC-001,Donna S.,3,Appointment took about as long as expected. They document everything carefully.,2026-08-12
REV-00045,LOC-001,Alexander S.,5,Beautiful smiles are made here.,2026-07-02
REV-00046,LOC-001,Paul I.,5,Very thorough cleaning and exam. Very modern technology and techniques.,2026-06-17
REV-00047,LOC-001,Lisa A.,5,The receptionist was so helpful. Outstanding service and expertise. Very modern technology and techniques.,2026-03-22
REV-00048,LOC-001,Larry G.,4,Best dental experience I've had.,2026-04-23
REV-00049,LOC-001,Melissa J.,5,Dr. explained everything clearly and answered all questions. Loved the friendly atmosphere.,2026-05-18
REV-00050,LOC-001,Makayla R.,5,The receptionist was so helpful. Best decision switching to this practice. Dr. and the team made me feel very comfortable.,2025-11-20
REV-00051,LOC-001,Carol D.,2,The staff was unprofessional.,2026-02-01
REV-00052,LOC-001,Kenneth T.,4,They treated me like family.,2025-10-25
REV-00053,LOC-001,Jonathan P.,4,Top-notch professionalism.,2025-12-17
REV-00054,LOC-001,Samantha N.,2,The dentist rushed through my exam.,2026-01-07
REV-00055,LOC-001,Daniel X.,5,Fantastic team and great results. Top-notch professionalism.,2026-01-20
REV-00056,LOC-001,Thomas C.,5,Outstanding results and great communication. Dr. and the team made me feel very comfortable.,2026-04-15
REV-00057,LOC-001,Melissa S.,2,The service was inadequate.,2026-08-20
REV-00058,LOC-001,Ashley L.,5,The staff is so friendly and welcoming.,2026-06-10
REV-00059,LOC-001,Makayla D.,3,The dentist was straightforward.,2025-09-21
REV-00060,LOC-001,Daniel Z.,4,The appointment was right on time. Very competent and thorough work.,2026-03-01
REV-00061,LOC-001,George Z.,3,The exam was comprehensive.,2025-11-30
REV-00062,LOC-001,Daniel Z.,4,They treated me like family.,2026-03-30
REV-00063,LOC-001,Steven G.,5,Very thorough and always professional.,2026-08-26
REV-00064,LOC-001,Jennifer V.,5,I have no cavities thanks to their care.,2026-04-24
REV-00065,LOC-001,Edward U.,5,Dr. explained everything clearly and answered all questions. Outstanding patient care experience.,2025-12-08
REV-00066,LOC-001,Carol F.,5,"Clean, comfortable, and welcoming. Great experience from start to finish. Would definitely return and refer friends.",2026-05-19
REV-00067,LOC-001,Benjamin N.,1,Staff seemed disorganized. Poor customer service experience.,2026-06-25
REV-00068,LOC-001,Thomas M.,4,The staff really cares about your comfort. Exceptional dental care every single time.,2026-02-24
REV-00069,LOC-001,James Q.,5,The staff really cares about your comfort.,2026-06-23
REV-00070,LOC-001,Sharon C.,4,Very professional and caring dentists.,2026-06-03
REV-00071,LOC-001,Patricia X.,2,Terrible communication. I'm looking for a better dentist.,2026-08-07
REV-00072,LOC-001,Sophia J.,5,They explain everything before doing it. The dentist really knows their stuff. Never felt rushed during my appointment.,2026-02-01
