location_id,gbp_location_id,store_code,name,primary_category,additional_categories,city,state,postal_code,latitude,longitude,phone,website_url,description,description_length,opened_on,verified,open_status
LOC-001,locations/10293847561122334455,BP-AUS-01,Brightpath Dental — Mueller,Dentist,Cosmetic dentist|Teeth whitening service,Austin,TX,78723,30.29841,-97.70233,+1-512-555-0141,https://brightpathdental.com/austin-mueller,"Brightpath Dental Mueller is a family and cosmetic dental practice serving northeast Austin since 2016. Our team offers routine cleanings, fillings, crowns, clear aligners, implants and professional whitening, with digital X-rays and same-day crowns in house. We see patients from age three upward, accept most PPO plans, and offer interest-free payment plans. Evening appointments on Thursdays. Free parking on site, wheelchair accessible throughout.",451,2016-03-14,TRUE,OPEN
LOC-002,locations/10293847561122334456,BP-AUS-02,Brightpath Dental — South Lamar,Dentist,Emergency dental service,Austin,TX,78704,30.24512,-97.78901,+1-512-555-0172,https://brightpathdental.com/austin-south-lamar,"Dentist in South Lamar, Austin.",31,2018-07-02,TRUE,OPEN
LOC-003,locations/10293847561122334457,BP-AUS-03,Brightpath Dental — Round Rock,Dentist,Pediatric dentist,Round Rock,TX,78664,30.50828,-97.67890,+1-512-555-0118,,,0,2019-01-21,TRUE,OPEN
LOC-004,locations/10293847561122334458,BP-DAL-01,Brightpath Dental — Deep Ellum,Dentist,Cosmetic dentist,Dallas,TX,75226,32.78412,-96.78012,+1-214-555-0190,https://brightpathdental.com/dallas-deep-ellum,"Deep Ellum's neighbourhood dentist since 2015. We handle cleanings, fillings, root canals, crowns, veneers and cosmetic whitening for adults and teens. Walk-ins are welcome when we have space, and we hold emergency slots most weekday mornings. Most major insurance accepted. Street and garage parking nearby.",308,2015-09-30,TRUE,OPEN
LOC-005,locations/10293847561122334459,BP-DAL-02,Brightpath Dental — Plano Legacy,Dentist,Orthodontist|Dental implants periodontist,Plano,TX,75024,33.07751,-96.82310,+1-972-555-0133,https://brightpathdental.com/dallas-plano,"Brightpath Dental Plano Legacy is a full-service practice combining general dentistry, orthodontics and implant care under one roof. Services include cleanings and preventive care, fillings, crowns and bridges, clear aligners and braces, single and full-arch implants, sedation options for anxious patients, and cosmetic whitening and veneers. We use 3D cone-beam imaging and intraoral scanning, accept most PPO plans and offer financing. Open Saturdays. Accessible entrance, restroom and parking.",497,2014-05-12,TRUE,OPEN
LOC-006,locations/10293847561122334460,BP-DAL-03,Brightpath Dental — Irving,Dentist,Emergency dental service,Irving,TX,75063,32.92104,-96.98221,+1-972-555-0165,https://brightpathdental.com/dallas-irving,"Brightpath Dental Irving offers general and emergency dental care for adults and children. Same-day appointments for toothache, broken teeth and lost fillings are usually available. We also provide cleanings, crowns, extractions and whitening. Most insurance accepted.",268,2020-11-09,TRUE,OPEN
LOC-007,locations/10293847561122334461,BP-HOU-01,Brightpath Dental — Montrose,Dentist,Cosmetic dentist,Houston,TX,77006,29.74391,-95.39012,+1-713-555-0128,https://brightpathdental.com/houston-montrose,"A modern dental practice in the heart of Montrose. We offer preventive cleanings, fillings, crowns, veneers, whitening and clear aligner treatment in a calm, unhurried setting. Our dentists take time to explain options and costs before any work begins. Most PPO insurance accepted, with written estimates provided up front. Convenient to downtown Houston.",355,2017-02-27,TRUE,OPEN
LOC-008,locations/10293847561122334462,BP-HOU-02,Brightpath Dental — Katy,Dentist,Pediatric dentist|Teeth whitening service,Katy,TX,77494,29.77612,-95.79004,+1-281-555-0154,https://brightpathdental.com/houston-katy,"Brightpath Dental Katy provides general dentistry for the whole family, including cleanings, exams, fillings, crowns, extractions and teeth whitening. Our dentists have served the Katy and Cinco Ranch area since 2018. Appointments available Monday through Saturday. Call us to discuss treatment options.",303,2018-10-15,TRUE,OPEN
LOC-009,locations/10293847561122334463,BP-HOU-03,Brightpath Dental — Sugar Land,Dentist,Dental implants periodontist,Sugar Land,TX,77479,29.61961,-95.63490,+1-281-555-0107,https://brightpathdental.com/houston-sugar-land,"General and implant dentistry in Sugar Land. Cleanings, fillings, crowns, dentures and dental implants for adults.",114,2021-06-08,FALSE,OPEN
LOC-010,locations/10293847561122334464,BP-PHX-01,Brightpath Dental — Arcadia,Dentist,Cosmetic dentist,Phoenix,AZ,85018,33.49702,-111.98011,+1-602-555-0146,https://brightpathdental.com/phoenix-arcadia,"Looking for the best dentist in Arcadia Phoenix? Brightpath Dental Arcadia is your trusted local dentist near me for affordable dental care, cosmetic dentistry, teeth whitening Phoenix, dental crowns Phoenix and family dentist Arcadia services. Top rated dentist Phoenix AZ. Call our friendly dental office today for the best dental care in Arcadia!",349,2019-08-19,TRUE,OPEN
LOC-011,locations/10293847561122334465,BP-PHX-02,Brightpath Dental — Tempe Marketplace,Dentist,Emergency dental service|Orthodontist,Tempe,AZ,85281,33.43042,-111.90911,+1-480-555-0189,https://brightpathdental.com/phoenix-tempe,"Dental practice at Tempe Marketplace. Cleanings, fillings, crowns, braces and emergency visits. Open six days a week.",117,2022-04-04,TRUE,OPEN
LOC-012,locations/10293847561122334466,BP-PHX-03,Brightpath Dental — Chandler Ocotillo,Dentist,Pediatric dentist,Chandler,AZ,85248,33.24391,-111.86720,+1-480-555-0121,https://brightpathdental.com/phoenix-chandler,"Now open in Ocotillo, Chandler. Accepting new patients of all ages.",67,2025-11-03,TRUE,OPEN
